item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33,rt_34,rt_35,rt_36,rt_37,rt_38,rt_39,rt_40
9,9,1,9,9,9,1,1,9,9,9,9,1,0,9,1,0,9,9,9,9,0,9,9,0,0,1,9,9,9,9,9,1,9,9,0,9,9,9,9,NA,NA,9.321,NA,NA,NA,28.94,28.046,NA,NA,NA,NA,11.296,30,NA,21.813,15.596,NA,NA,NA,NA,14.762,NA,NA,9.787,8.26,17.939,NA,NA,NA,NA,NA,14.875,NA,NA,16.734,NA,NA,NA,NA
1,0,9,0,9,1,0,1,9,1,9,9,9,1,1,1,0,9,9,9,9,0,1,1,9,1,9,1,9,9,1,1,9,1,9,1,9,1,9,9,7.237,13.727,NA,7.852,NA,5.484,13.18,14.758,NA,17.215,NA,NA,NA,8.223,19.971,22.236,8.445,NA,NA,NA,NA,9.349,9.963,15.306,NA,8.949,NA,19.345,NA,NA,15.3,8.625,NA,10.211,NA,12.598,NA,9.459,NA,NA
9,1,0,9,1,9,1,1,1,1,9,9,9,1,1,9,9,9,9,9,0,9,1,1,9,1,9,9,1,9,1,1,9,1,0,9,1,9,9,9,NA,4.242,30,NA,13.429,NA,23.62,5.392,17.687,7.146,NA,NA,NA,6.665,13.672,NA,NA,NA,NA,NA,6.088,NA,30,13.385,NA,3.681,NA,NA,4.843,NA,19.605,4.952,NA,8.556,22.848,NA,7.291,NA,NA,NA
1,1,9,1,0,9,1,1,0,9,0,1,0,9,9,0,1,1,9,0,1,9,9,9,9,9,9,9,9,0,9,1,9,0,9,9,1,9,1,9,10.233,20.313,NA,15.436,13.049,NA,3.549,20.452,28.11,NA,13.474,18.236,5.078,NA,NA,6.666,7.706,6.584,NA,11.126,12.01,NA,NA,NA,NA,NA,NA,NA,NA,14.345,NA,8.14,NA,4.613,NA,NA,10.371,NA,19.867,NA
9,9,1,1,9,9,1,1,9,0,9,9,1,1,9,0,1,0,9,1,9,9,1,9,9,9,0,1,1,0,9,9,9,9,9,0,1,1,1,0,NA,NA,30,8.574,NA,NA,17.278,19.068,NA,5.679,NA,NA,5.319,6.652,NA,7.82,6.77,14.49,NA,28.631,NA,NA,3.915,NA,NA,NA,19.453,4.583,20.554,8.287,NA,NA,NA,NA,NA,9.194,3.274,11.066,12.443,7.914
9,1,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,1,9,9,9,0,9,9,9,0,9,9,9,0,1,1,9,9,1,0,9,NA,14.156,NA,NA,NA,NA,NA,NA,NA,NA,24.085,13.388,NA,NA,NA,NA,NA,NA,NA,NA,16.178,NA,NA,NA,30,NA,NA,NA,22.937,NA,NA,NA,30,10.658,30,NA,NA,14.109,6.882,NA
1,1,1,9,9,9,0,9,1,9,1,9,1,9,9,1,1,1,1,0,9,1,9,1,9,1,9,1,1,9,9,1,9,9,9,1,9,1,9,9,4.951,8.794,10.107,NA,NA,NA,16.519,NA,13.523,NA,19.63,NA,5.819,NA,NA,5.941,8.832,4.608,16.231,30,NA,14.554,NA,9.484,NA,7.447,NA,12.575,7.388,NA,NA,8.947,NA,NA,NA,30,NA,5.595,NA,NA
9,9,9,9,9,1,0,9,9,9,9,0,9,9,9,9,9,9,9,1,9,0,1,9,9,9,9,9,1,0,9,9,9,9,9,1,9,9,0,1,NA,NA,NA,NA,NA,5.176,28.396,NA,NA,NA,NA,19.079,NA,NA,NA,NA,NA,NA,NA,30,NA,13.6,8.252,NA,NA,NA,NA,NA,30,7.435,NA,NA,NA,NA,NA,19.054,NA,NA,26.696,27.777
9,0,9,9,1,1,9,9,9,1,1,0,1,0,1,9,9,9,0,9,1,9,9,1,1,0,9,9,1,9,0,0,9,0,1,1,9,9,9,1,NA,15.302,NA,NA,8.351,5.439,NA,NA,NA,10.405,14.262,3.327,22.32,9.422,11.713,NA,NA,NA,8.135,NA,5.151,NA,NA,7.261,16.689,6.551,NA,NA,18.515,NA,22.67,14.928,NA,10.368,8.271,16.936,NA,NA,NA,10.966
1,9,9,1,9,1,1,9,1,0,1,9,9,9,9,9,9,0,1,9,9,9,1,1,9,1,9,9,9,0,1,9,9,0,0,9,1,9,1,0,6.937,NA,NA,7.523,NA,3.08,21.615,NA,7.876,30,11.407,NA,NA,NA,NA,NA,NA,11.434,21.935,NA,NA,NA,8.951,5.978,NA,9.491,NA,NA,NA,12.181,13.515,NA,NA,7.042,17.44,NA,13.328,NA,21.511,11.995
1,9,0,9,1,1,1,1,1,1,1,1,1,1,1,9,1,0,9,1,9,9,1,9,0,1,9,1,9,9,9,1,9,0,0,9,1,1,1,9,4.452,NA,5.58,NA,10.508,10.564,12.467,8.664,10.647,10.112,5.921,9.132,5.78,5.958,9.165,NA,15.231,10.741,NA,10.117,NA,NA,7.06,NA,16.272,7.365,NA,15.231,NA,NA,NA,5.891,NA,11.564,13.756,NA,6.593,6.728,6.461,NA
9,0,9,9,9,1,9,9,0,9,1,9,0,9,9,9,9,1,9,9,1,9,9,9,0,1,9,9,0,9,9,9,1,9,9,9,9,1,0,9,NA,3.463,NA,NA,NA,8.859,NA,NA,27.537,NA,17.248,NA,5.583,NA,NA,NA,NA,9.409,NA,NA,29.645,NA,NA,NA,24.41,20.733,NA,NA,30,NA,NA,NA,21.908,NA,NA,NA,NA,12.334,28.117,NA
1,1,9,1,0,1,9,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,9,0,1,1,1,0,0,4.655,6.359,NA,6.44,5.228,3.399,NA,4.647,2.206,6.191,2.689,9.055,5.35,5.807,4.144,7.544,7.1,3.975,2.231,17.175,6.327,6.935,6.136,7.464,6.313,6.262,13.047,3.838,9.992,10.223,2.095,4.512,12.588,NA,9.399,14.981,4.592,5.615,9.304,4.695
9,9,9,9,9,9,0,1,0,9,0,9,1,9,9,9,9,9,9,9,9,9,1,9,9,0,9,9,0,9,9,9,9,9,0,9,9,9,9,9,NA,NA,NA,NA,NA,NA,30,30,15.991,NA,30,NA,21.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.064,NA,NA,30,NA,NA,5.879,NA,NA,NA,NA,NA,21.478,NA,NA,NA,NA,NA
0,9,0,9,0,0,1,0,0,0,9,9,0,0,0,0,0,9,0,0,0,9,9,9,0,9,0,9,1,0,0,9,0,0,0,0,0,0,9,0,10.177,NA,11.566,NA,1.982,3.302,12.003,6.05,11.417,5.016,NA,NA,6.598,4.75,9.236,18.617,13.699,NA,7.568,2.912,8.427,NA,NA,NA,7.2,NA,5.232,NA,15.779,7.453,5.666,NA,5.459,20.275,7.666,4.133,9.016,10.247,NA,10.003
9,9,1,9,9,9,9,1,1,0,0,9,1,9,1,1,1,1,1,1,9,0,1,1,9,9,9,9,1,9,9,0,0,1,1,1,1,9,1,1,NA,NA,8.032,NA,NA,NA,NA,11.633,14.578,7.048,4.976,NA,6.006,NA,14.505,4.563,7.776,5.69,30,8.584,NA,10.315,6.154,6.718,NA,NA,NA,NA,9.231,NA,NA,16.926,5.514,6.518,19.491,7.858,4.46,NA,26.556,15.931
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.506,4.882,8.623,6.808,10.354,2.802,5.459,4.912,7.213,13.778,5.033,4.637,5.596,11.454,5.055,3.309,4.459,4.386,5.981,7.25,3.008,5.952,3.68,7.147,10.366,3.704,5.299,3.664,4.94,8.838,6.931,3.508,6.828,5.766,7.543,11.706,3.682,4.519,4.291,11.338
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.796,3.398,2.246,4.385,11.254,11.997,9.406,3.55,2.83,2.166,4.647,7.774,3.566,4.182,3.382,2.302,3.942,3.122,3.477,10.87,2.838,2.807,3.822,9.469,6.262,24.071,3.542,2.509,8.278,3.691,24.573,2.258,2.646,2.726,3.742,6.119,2.78,1.624,8.126,4.037
9,1,9,1,9,1,9,9,9,1,9,9,9,9,1,1,9,1,9,9,9,1,1,9,1,1,1,9,9,9,9,9,1,9,9,1,1,1,1,9,NA,19.492,NA,9.801,NA,4.014,NA,NA,NA,26.072,NA,NA,NA,NA,11.154,5.879,NA,4.289,NA,NA,NA,10.652,5.921,NA,24.033,6.276,14.485,NA,NA,NA,NA,NA,8.563,NA,NA,30,6.624,4.131,19.029,NA
9,9,1,0,0,9,0,9,9,9,9,9,1,0,0,9,9,9,0,0,9,9,1,9,0,9,1,1,9,0,9,9,0,9,0,9,1,1,0,9,NA,NA,7.276,9.618,16.516,NA,10.054,NA,NA,NA,NA,NA,9.241,13.076,9.223,NA,NA,NA,13.54,10.45,NA,NA,8.551,NA,17.98,NA,27.032,12.416,NA,15.006,NA,NA,19.398,NA,9.321,NA,6.767,8.979,17.59,NA
9,9,9,9,1,1,9,1,9,1,1,9,9,9,9,1,9,9,9,9,9,9,9,9,1,1,9,9,9,1,9,9,1,9,9,0,9,9,1,9,NA,NA,NA,NA,21.121,5.841,NA,18.958,NA,30,21.464,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,24.542,13.428,NA,NA,NA,17.217,NA,NA,13.731,NA,NA,20.889,NA,NA,22.791,NA
9,0,9,1,0,9,9,9,0,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,1,9,9,0,1,9,9,9,9,9,9,9,9,0,NA,24.061,NA,17.107,30,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.945,NA,NA,NA,NA,NA,21.366,30,NA,NA,18.138,13.792,NA,NA,NA,NA,NA,NA,NA,NA,30
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,9,1,1,1,9,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,3.316,5.86,4.73,4.933,10.234,6.55,5.502,4.1,14.58,6.035,8.867,8.366,4.762,11.237,17.389,5.218,5.417,3.835,5.45,NA,3.647,6.061,3.734,NA,22.883,4.049,4.848,3.652,4.669,5.479,5.479,6.081,4.433,4.785,4.167,7.816,3.08,4.721,4.488,5.231
9,1,0,9,9,9,9,9,9,0,9,9,0,1,9,9,9,9,9,9,9,1,9,9,9,9,1,9,9,0,9,1,9,1,0,9,9,1,9,9,NA,15.192,29.939,NA,NA,NA,NA,NA,NA,14.412,NA,NA,13.298,22.396,NA,NA,NA,NA,NA,NA,NA,23.108,NA,NA,NA,NA,16.131,NA,NA,12.354,NA,26.959,NA,12.262,30,NA,NA,13.037,NA,NA
1,9,1,1,9,1,1,1,9,1,9,9,9,1,9,9,9,1,1,0,1,1,1,1,1,1,1,1,1,1,9,1,1,9,9,9,1,9,9,0,6.335,NA,7.71,9.598,NA,4.574,5.646,9.046,NA,10.03,NA,NA,NA,11.715,NA,NA,NA,9.311,9.489,21.081,4.767,7.894,8.616,6.878,18.223,10.958,12.831,12.673,8.296,9.391,NA,7.062,6.678,NA,NA,NA,17.078,NA,NA,9.482
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,2.435,3.526,3.163,6.437,4.265,2.983,3.367,5.565,5.083,13.814,4.209,5.234,5.737,4.735,9.784,8.934,5.555,2.169,4.876,6.7,2.687,6.069,4.422,4.1,6.315,3.645,5.581,3.6,3.417,5.05,4.531,3.387,5.332,5.813,6.866,5.641,4.318,3.65,4.083,4.667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.598,2.997,2.182,2.665,4.281,3.015,5.751,1.583,1.6,4.583,3.784,3.731,2.648,3.747,10.364,1.816,22.5,3.669,2.637,2.884,3.583,9.802,11.249,2.248,1.849,1.616,2.381,1.334,2.182,1.609,3.883,2.666,2.25,2.078,12.566,2.273,6.652,1.948,2,3.417
0,9,9,9,1,9,9,0,1,1,0,9,9,9,9,1,1,9,9,1,1,9,9,9,9,9,1,9,1,1,9,9,1,1,1,9,9,9,9,1,11.19,NA,NA,NA,15.242,NA,NA,19.399,30,12.026,10.867,NA,NA,NA,NA,16.938,12.214,NA,NA,10.03,6.521,NA,NA,NA,NA,NA,13.096,NA,16.849,9.152,NA,NA,13.892,11.395,30,NA,NA,NA,NA,12.448
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4.628,4.921,3.838,4.684,4.454,3.018,5.147,4.404,5.608,5.549,4.724,5.257,3.549,8.969,7.553,3.271,3.751,3.655,5.014,6.283,3.384,4.223,4.012,4.52,9.502,3.145,4.336,2.759,5.684,5.023,3.501,5.744,3.164,7.063,4.203,6.081,3.184,4.203,6.772,5.102
1,9,1,1,0,1,1,1,1,1,1,1,1,1,1,9,1,1,1,9,1,1,1,1,1,1,1,9,1,9,1,1,9,1,1,1,1,9,1,1,3.903,NA,5.505,6.134,8.668,3.426,10.122,6.862,8.393,17.677,6.35,8.16,7.789,5.645,5.536,NA,14.327,4.128,7.864,NA,3.575,6.79,6.758,6.807,12.543,6.252,7.296,NA,11.103,NA,6.158,6.871,NA,6.054,8.141,5.609,6.364,NA,5.429,7.379
1,9,9,0,0,0,9,0,0,0,1,1,0,0,9,0,0,9,0,0,0,1,1,0,9,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,5.744,NA,NA,16.45,7.35,2.733,NA,4.101,3.963,4.768,5.978,11.549,2.951,3.449,NA,13.584,6.458,NA,5.537,3.611,7.565,10.12,6.498,4.572,NA,12.147,5.699,6.598,29.751,5.212,6.105,13.698,3.348,4.017,4.015,3.555,5.036,8.633,9.589,4.249
1,1,1,1,9,1,9,9,9,9,9,0,9,9,9,9,9,9,9,1,0,1,9,1,9,9,1,9,1,0,9,9,1,9,9,9,9,9,0,9,7.829,30,6.909,10.166,NA,17.523,NA,NA,NA,NA,NA,5.51,NA,NA,NA,NA,NA,NA,NA,16.853,11.389,19.816,NA,16.29,NA,NA,27.253,NA,13.478,11.742,NA,NA,20.118,NA,NA,NA,NA,NA,29.461,NA
1,1,9,1,1,9,1,9,1,9,1,9,1,1,1,1,1,0,1,9,1,9,9,1,9,1,1,1,1,9,1,9,9,9,9,9,1,9,9,9,4.791,12.408,NA,8.526,13.411,NA,10.319,NA,11.917,NA,20.087,NA,8.47,12.192,14.958,11.439,7.631,18.632,18.383,NA,7.968,NA,NA,11.696,NA,7.879,9.919,11.095,7.454,NA,11.334,NA,NA,NA,NA,NA,8.63,NA,NA,NA
9,0,1,0,9,1,0,1,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,0,9,9,9,9,9,9,9,1,NA,30,14.647,21.976,NA,4.993,30,21.741,NA,16.389,NA,NA,17.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.869,NA,25.135,NA,NA,NA,NA,NA,NA,NA,30
9,9,9,9,9,9,9,0,9,9,9,9,9,9,0,0,9,1,9,1,1,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,24.2,NA,NA,NA,NA,NA,NA,30,30,NA,11.051,NA,30,19.967,NA,NA,NA,NA,NA,25.528,17.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,9,9,9,1,9,1,1,9,1,9,9,1,0,9,9,1,9,1,9,1,9,9,0,9,9,9,9,1,1,9,9,9,1,1,1,9,1,9,NA,NA,NA,NA,NA,4.679,NA,9.679,5.963,NA,5.073,NA,NA,11.77,23.007,NA,NA,30,NA,16.363,NA,6.832,NA,NA,30,NA,NA,NA,NA,7.911,7.015,NA,NA,NA,18.108,17.3,5.893,NA,24.207,NA
1,1,1,9,1,1,9,9,9,1,9,9,9,1,9,9,9,9,1,9,9,9,9,9,1,1,9,9,9,0,1,9,9,1,9,0,9,9,9,9,9.555,10.274,17.659,NA,30,14.811,NA,NA,NA,17.891,NA,NA,NA,10.319,NA,NA,NA,NA,26.364,NA,NA,NA,NA,NA,17.704,9.081,NA,NA,NA,18.533,21.778,NA,NA,15.353,NA,21,NA,NA,NA,NA
9,9,1,1,9,1,1,1,1,1,1,1,1,1,1,1,0,9,0,9,1,9,0,1,9,1,9,9,9,1,1,1,9,1,9,1,1,1,9,0,NA,NA,6.052,7.619,NA,3.377,12.546,7.735,11.376,8.599,9.288,13.565,5.243,9.006,18.744,6.909,10.43,NA,10.894,NA,7.566,NA,2.018,18.753,NA,5.434,NA,NA,NA,9.262,11.701,5.316,NA,8.132,NA,9.68,5.578,8.097,NA,8.835
