respondent_id,age,gender,education,employment,marital_status,fwb1_1,fwb1_2,fwb1_3,fwb1_4,fwb1_5,fwb1_6,fwb2_1,fwb2_2,fwb2_3,fwb2_4,raise2000,financial_knowledge,debt_collector,hardship_food,hardship_doctor
7853,35-44,Female,Some college/Associate,Permanently sick/disabled or unable to work,Never married,4,5,5,4,5,5,1,5,1,5,8,4,8,1,1
9433,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Married,5,4,2,4,1,3,2,5,1,3,4,5,0,1,1
12518,55-61,Female,High school degree/GED,Work full-time for an employer or the military,Married,4,3,3,3,3,4,2,3,2,3,4,5,1,1,1
8518,35-44,Male,High school degree/GED,Unemployed or temporarily laid off,Never married,2,2,4,2,4,4,4,2,2,4,8,2,0,1,1
11727,35-44,Male,High school degree/GED,Self-employed,Married,2,2,5,2,5,4,5,2,2,4,1,2,0,1,1
10911,25-34,Male,Some college/Associate,Work full-time for an employer or the military,Living with partner,2,2,4,3,2,5,3,4,2,5,2,5,0,1,1
8945,25-34,Female,High school degree/GED,Work part-time for an employer or the military,Never married,1,2,3,2,1,5,5,1,4,5,2,4,1,2,1
11354,18-24,Male,Some college/Associate,Full-time student,Never married,3,4,2,4,2,3,2,4,3,4,3,5,0,1,1
12162,25-34,Female,Graduate/professional degree,Work full-time for an employer or the military,Living with partner,1,3,3,2,5,3,5,1,3,3,1,3,0,1,1
7854,35-44,Male,High school degree/GED,Self-employed,Divorced/Separated,3,3,3,4,4,3,1,5,2,3,3,5,0,1,1
11080,55-61,Male,Some college/Associate,Work full-time for an employer or the military,Married,1,2,3,3,5,5,4,1,3,3,1,5,1,2,1
10758,45-54,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,4,5,3,5,2,2,2,5,2,4,4,6,0,1,1
12639,18-24,Female,Graduate/professional degree,Self-employed,Never married,3,4,-1,4,-1,-1,1,5,1,1,4,6,0,1,1
10352,25-34,Female,Bachelor's degree,Work full-time for an employer or the military,Never married,2,2,3,3,4,4,2,4,2,3,4,5,0,1,1
12163,45-54,Male,Bachelor's degree,Permanently sick/disabled or unable to work,Married,3,1,4,2,5,5,4,2,5,5,4,5,1,1,1
10353,25-34,Male,High school degree/GED,Work full-time for an employer or the military,Never married,2,3,2,3,3,3,2,5,1,2,1,4,1,1,1
8946,45-54,Female,Some college/Associate,Work full-time for an employer or the military,Married,2,2,3,3,3,4,3,3,2,4,4,5,0,1,1
14079,25-34,Male,Bachelor's degree,Work full-time for an employer or the military,Divorced/Separated,1,1,4,2,3,4,3,2,5,5,1,4,1,3,1
13243,55-61,Male,High school degree/GED,Work full-time for an employer or the military,Divorced/Separated,4,4,1,4,2,2,1,5,1,2,4,6,0,1,1
9183,25-34,Male,Some college/Associate,Work full-time for an employer or the military,Never married,2,2,3,3,3,3,4,2,2,3,3,5,0,1,3
12560,45-54,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,3,3,3,3,3,3,4,2,5,3,8,6,8,2,1
8947,35-44,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,4,4,2,4,2,2,2,4,2,2,4,5,0,1,1
8306,55-61,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,4,5,1,5,2,2,1,4,2,1,4,6,0,1,1
9915,45-54,Female,Bachelor's degree,Self-employed,Married,4,4,1,4,1,2,1,3,1,3,4,6,0,1,1
8712,25-34,Female,High school degree/GED,Work full-time for an employer or the military,Living with partner,1,3,3,4,2,4,5,3,3,4,1,5,0,1,1
12298,35-44,Male,Bachelor's degree,Work full-time for an employer or the military,Never married,4,4,3,4,2,4,2,4,2,5,4,4,0,1,1
10759,35-44,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,3,4,2,3,2,2,1,3,1,3,4,6,0,1,1
9184,45-54,Female,Some college/Associate,Work full-time for an employer or the military,Married,3,3,2,4,3,5,3,3,2,3,2,4,0,2,2
9434,55-61,Male,High school degree/GED,Work part-time for an employer or the military,Married,1,2,4,3,3,3,3,3,2,2,4,4,0,1,1
8308,35-44,Male,Some college/Associate,Work full-time for an employer or the military,Married,5,5,1,5,1,1,1,5,1,1,4,6,0,1,1
8714,35-44,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,3,3,2,3,2,4,2,4,2,3,4,4,0,1,1
7314,35-44,Female,Some college/Associate,Work full-time for an employer or the military,Married,4,4,2,4,3,3,2,5,2,2,4,6,0,1,1
7315,25-34,Male,Bachelor's degree,Work full-time for an employer or the military,Married,3,4,3,3,4,4,4,3,3,3,4,5,0,1,1
12751,25-34,Female,Less than high school,Work full-time for an employer or the military,Living with partner,1,2,5,2,5,4,4,2,5,4,1,4,1,3,2
11499,45-54,Male,Bachelor's degree,Work full-time for an employer or the military,Married,3,3,2,3,3,3,3,3,3,2,4,5,0,1,1
11223,35-44,Male,Bachelor's degree,Work full-time for an employer or the military,Married,4,4,2,4,1,2,1,5,1,2,4,5,0,1,1
10551,55-61,Female,Graduate/professional degree,Self-employed,Married,3,4,3,4,2,2,3,2,1,3,4,5,0,1,1
7994,25-34,Male,Bachelor's degree,Work full-time for an employer or the military,Married,3,3,2,4,2,2,2,4,2,3,4,6,0,1,1
7995,35-44,Male,High school degree/GED,Permanently sick/disabled or unable to work,Never married,5,5,5,5,5,5,5,5,5,5,2,6,1,2,2
7225,35-44,Female,Bachelor's degree,Work part-time for an employer or the military,Married,5,4,1,4,1,2,5,5,1,2,4,4,0,1,1
11225,25-34,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,4,3,2,4,2,3,2,4,1,2,4,5,0,1,1
10131,55-61,Male,High school degree/GED,Work part-time for an employer or the military,Married,3,3,3,3,4,3,3,3,3,3,3,4,0,1,1
8715,45-54,Male,Graduate/professional degree,Work full-time for an employer or the military,Never married,3,2,4,3,2,2,2,5,4,4,3,5,0,1,1
11925,45-54,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,2,2,4,1,2,4,3,2,4,5,2,2,1,1,1
8310,35-44,Female,Graduate/professional degree,Self-employed,Married,4,1,3,4,2,4,1,5,1,3,4,4,0,1,1
11831,25-34,Female,High school degree/GED,Refused,Married,3,4,2,4,2,3,2,4,2,2,8,5,8,1,1
9436,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Divorced/Separated,1,2,5,1,5,5,5,1,5,5,2,4,1,1,2
8950,55-61,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,3,4,2,4,2,3,2,5,2,3,4,7,0,1,1
9437,45-54,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,4,4,2,4,2,3,1,4,1,3,4,5,0,1,1
10554,55-61,Male,Some college/Associate,Work full-time for an employer or the military,Married,4,4,2,4,4,3,3,3,1,2,4,5,0,1,1
10132,45-54,Female,High school degree/GED,Work full-time for an employer or the military,Married,4,4,2,4,2,1,2,3,1,1,4,5,0,1,1
7380,25-34,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,5,5,2,4,2,1,1,5,1,2,4,6,0,1,1
8520,25-34,Female,High school degree/GED,Work part-time for an employer or the military,Married,1,2,4,2,2,4,4,1,4,4,1,3,1,3,3
12752,18-24,Female,Less than high school,Self-employed,Never married,2,3,3,4,3,3,1,2,3,2,2,6,0,2,1
12235,25-34,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,3,3,2,4,2,3,3,4,2,3,4,5,0,1,1
7316,18-24,Female,Some college/Associate,Work full-time for an employer or the military,Living with partner,5,5,2,5,2,2,2,5,2,2,4,5,0,1,1
12354,55-61,Female,High school degree/GED,Work part-time for an employer or the military,Married,2,3,3,3,3,3,2,2,2,3,3,4,0,1,1
8716,45-54,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,4,4,4,4,2,5,2,3,1,3,4,6,0,1,1
8311,25-34,Male,Graduate/professional degree,Work full-time for an employer or the military,Never married,4,4,1,5,2,3,1,5,1,2,4,6,0,1,1
13637,18-24,Female,Some college/Associate,Unemployed or temporarily laid off,Living with partner,1,2,3,3,4,4,4,2,3,4,1,3,0,3,3
8951,45-54,Female,Some college/Associate,Work full-time for an employer or the military,Divorced/Separated,3,3,2,3,3,3,2,4,2,1,4,7,1,1,1
9439,18-24,Male,Bachelor's degree,Work full-time for an employer or the military,Married,5,5,2,5,1,2,1,5,1,1,4,6,0,1,1
9186,45-54,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,5,4,2,5,2,2,2,5,2,2,4,6,0,1,1
9440,25-34,Female,Bachelor's degree,Full-time student,Married,5,4,1,5,1,3,2,5,1,2,4,7,0,1,1
13656,25-34,Female,Bachelor's degree,Work full-time for an employer or the military,Married,3,2,3,3,2,5,1,5,1,3,4,5,0,1,1
13367,18-24,Female,High school degree/GED,Work part-time for an employer or the military,Never married,3,3,3,3,3,3,3,3,3,3,2,4,0,1,1
12935,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Married,3,2,4,2,3,4,3,3,3,4,8,3,0,1,1
7382,35-44,Male,High school degree/GED,Homemaker,Married,5,5,5,5,1,1,1,5,1,1,2,5,0,1,1
12753,45-54,Male,Graduate/professional degree,Self-employed,Living with partner,3,4,2,3,4,4,2,3,2,3,4,6,0,1,1
11832,55-61,Male,Bachelor's degree,Retired,Married,5,5,1,5,1,1,1,5,1,2,4,5,0,1,1
8312,25-34,Male,Bachelor's degree,Work full-time for an employer or the military,Married,5,5,1,4,1,2,1,5,1,1,4,6,0,1,1
13953,18-24,Male,High school degree/GED,Full-time student,Living with partner,1,1,5,3,1,4,3,2,3,1,1,3,0,1,2
9919,35-44,Female,Some college/Associate,Work full-time for an employer or the military,Married,1,2,5,1,3,5,3,1,2,4,1,3,1,2,1
8718,18-24,Female,Bachelor's degree,Work full-time for an employer or the military,Never married,3,3,4,2,3,4,3,4,2,3,4,4,0,1,1
8522,35-44,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,4,4,2,4,2,2,2,4,2,3,4,5,0,1,1
9442,55-61,Female,Bachelor's degree,Permanently sick/disabled or unable to work,Never married,2,3,3,3,3,3,2,3,2,2,3,4,0,1,2
7318,45-54,Male,High school degree/GED,Work full-time for an employer or the military,Married,4,4,4,3,2,5,2,4,2,2,4,4,0,1,1
7855,35-44,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,3,3,3,3,4,3,3,2,3,3,3,4,0,1,1
11833,18-24,Male,Some college/Associate,Work full-time for an employer or the military,Living with partner,2,3,2,4,2,4,2,3,1,5,4,5,0,1,1
11228,45-54,Female,High school degree/GED,Homemaker,Married,2,2,4,3,4,5,3,2,2,3,4,5,8,1,1
13917,25-34,Female,High school degree/GED,Work part-time for an employer or the military,Never married,1,1,5,1,5,5,5,1,5,5,8,1,8,3,3
12419,55-61,Female,High school degree/GED,Work full-time for an employer or the military,Married,1,3,3,1,1,5,5,1,5,5,1,3,1,2,1
7856,35-44,Male,Graduate/professional degree,Work full-time for an employer or the military,Never married,4,5,2,2,1,2,1,5,1,2,4,5,0,1,1
11500,55-61,Female,Some college/Associate,Work full-time for an employer or the military,Married,1,1,5,1,1,5,3,3,3,5,3,1,0,1,1
8953,45-54,Male,High school degree/GED,Unemployed or temporarily laid off,Living with partner,2,3,2,3,4,4,4,2,3,4,1,3,0,2,1
13146,55-61,Female,Some college/Associate,Self-employed,Divorced/Separated,2,2,3,3,3,2,3,3,2,3,3,4,0,1,1
13722,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Married,3,4,3,4,5,5,3,2,2,3,3,6,0,1,1
11086,55-61,Male,High school degree/GED,Permanently sick/disabled or unable to work,Living with partner,1,1,5,2,1,5,5,1,2,2,8,4,0,3,1
12302,55-61,Male,Some college/Associate,Work full-time for an employer or the military,Married,3,2,2,3,3,3,2,3,3,2,4,4,0,1,1
8719,25-34,Female,Some college/Associate,Self-employed,Married,1,3,1,1,4,5,5,1,5,5,1,4,0,2,1
9691,55-61,Female,Some college/Associate,Permanently sick/disabled or unable to work,Divorced/Separated,2,1,4,3,4,4,3,2,3,3,3,3,0,1,1
14196,35-44,Female,High school degree/GED,Work full-time for an employer or the military,Married,3,3,3,3,3,3,3,3,3,3,2,4,0,1,1
8314,35-44,Male,High school degree/GED,Work full-time for an employer or the military,Married,3,5,5,5,5,4,1,5,1,1,4,3,0,1,1
12641,25-34,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,4,3,2,4,3,1,3,3,2,3,4,6,0,2,2
10762,45-54,Male,Bachelor's degree,Work full-time for an employer or the military,Married,2,2,1,3,3,2,3,2,2,3,1,6,0,1,1
10133,25-34,Female,Some college/Associate,Work full-time for an employer or the military,Married,1,3,3,2,5,5,4,1,5,5,1,4,-1,3,2
12356,25-34,Female,Less than high school,Refused,Married,3,3,3,3,3,3,2,4,1,1,8,6,0,1,1
8524,25-34,Female,Graduate/professional degree,Unemployed or temporarily laid off,Never married,1,1,3,2,3,3,4,1,1,3,4,4,0,1,2
8720,18-24,Female,Less than high school,Homemaker,Divorced/Separated,1,1,5,2,5,5,5,2,4,5,1,3,0,2,1
8525,35-44,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,5,5,1,5,1,1,1,5,1,1,4,7,0,1,1
7857,18-24,Male,Some college/Associate,Full-time student,Never married,1,1,3,2,5,4,4,2,3,3,2,3,0,2,2
13619,35-44,Female,Less than high school,Self-employed,Married,2,2,2,3,3,2,2,3,1,1,3,5,0,1,1
9692,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Married,3,2,5,2,3,5,3,2,2,4,4,4,0,1,2
10134,45-54,Male,High school degree/GED,Work part-time for an employer or the military,Married,3,3,3,4,2,3,1,5,1,1,3,6,0,1,1
9189,55-61,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,5,5,1,4,1,3,1,5,1,1,4,6,0,1,1
8123,55-61,Female,High school degree/GED,Permanently sick/disabled or unable to work,Married,1,1,4,2,5,4,4,2,3,4,1,5,1,1,2
8315,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Married,4,4,2,4,3,3,1,4,1,3,4,5,0,1,1
10354,45-54,Female,High school degree/GED,Self-employed,Married,2,3,2,3,3,3,3,2,3,3,3,7,0,1,2
9190,25-34,Female,High school degree/GED,Refused,Married,1,2,3,3,3,4,3,2,3,3,1,7,1,2,1
13674,55-61,Female,Graduate/professional degree,Homemaker,Married,4,4,1,4,1,1,2,4,1,1,4,5,1,1,1
10135,45-54,Female,Bachelor's degree,Work part-time for an employer or the military,Never married,1,2,4,2,2,3,4,1,3,3,4,6,0,1,1
8721,18-24,Male,Bachelor's degree,Work full-time for an employer or the military,Never married,2,2,4,3,3,4,2,4,2,3,4,4,0,1,1
9921,45-54,Female,Some college/Associate,Work part-time for an employer or the military,Married,3,4,4,3,5,2,4,2,2,2,3,4,0,1,1
7858,25-34,Male,High school degree/GED,Work full-time for an employer or the military,Never married,5,5,1,5,1,1,1,5,1,1,4,7,0,1,1
7996,25-34,Male,High school degree/GED,Unemployed or temporarily laid off,Never married,3,2,4,4,4,4,2,3,2,4,2,5,0,2,1
13052,18-24,Female,High school degree/GED,Work full-time for an employer or the military,Living with partner,3,4,1,4,3,2,1,4,1,1,3,5,0,1,1
7859,25-34,Male,Bachelor's degree,Work full-time for an employer or the military,Married,3,5,2,4,2,4,4,4,2,5,3,5,0,1,1
12711,45-54,Female,High school degree/GED,Work full-time for an employer or the military,Never married,4,4,2,4,2,3,1,3,1,2,4,6,0,1,1
9923,45-54,Female,High school degree/GED,Work full-time for an employer or the military,Married,1,2,1,1,1,5,5,1,3,4,1,1,1,2,2
8526,35-44,Female,Bachelor's degree,Homemaker,Married,1,1,2,3,3,2,3,3,3,1,1,4,1,1,1
12852,55-61,Male,High school degree/GED,Work part-time for an employer or the military,Married,4,4,2,4,2,2,2,4,2,2,4,5,0,1,1
13172,25-34,Female,Some college/Associate,Work full-time for an employer or the military,Never married,2,4,2,2,2,2,4,2,4,3,4,3,0,1,1
12420,55-61,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,3,4,2,4,4,3,1,4,2,1,4,5,0,1,1
10556,35-44,Female,High school degree/GED,Homemaker,Married,4,4,3,5,4,3,2,3,1,1,1,5,1,2,1
14390,25-34,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,4,3,2,4,3,3,2,4,1,2,3,5,0,1,1
12421,18-24,Female,High school degree/GED,Work full-time for an employer or the military,Never married,3,5,1,4,3,3,3,4,2,2,8,5,0,1,1
9191,55-61,Male,Some college/Associate,Self-employed,Married,1,1,4,2,5,5,3,2,5,4,1,5,1,1,2
14293,18-24,Female,Some college/Associate,Work part-time for an employer or the military,Never married,1,2,4,2,3,4,3,2,3,4,8,3,8,2,2
9192,25-34,Male,Bachelor's degree,Work full-time for an employer or the military,Never married,2,1,3,2,4,5,5,4,5,5,4,3,1,2,3
11357,25-34,Male,High school degree/GED,Work full-time for an employer or the military,Married,5,5,2,5,2,2,2,4,2,2,4,5,0,1,1
8955,18-24,Female,Some college/Associate,Full-time student,Never married,3,4,2,4,3,3,3,4,3,3,4,3,0,1,1
9443,18-24,Male,Some college/Associate,Work full-time for an employer or the military,Never married,4,4,2,4,2,3,1,4,2,2,4,4,0,2,2
7860,55-61,Female,Bachelor's degree,Work full-time for an employer or the military,Never married,3,3,4,2,4,3,3,2,5,2,3,4,0,1,1
12357,55-61,Male,Graduate/professional degree,Work full-time for an employer or the military,Divorced/Separated,1,2,5,2,4,4,2,2,2,3,4,7,0,1,1
9193,45-54,Female,Some college/Associate,Work part-time for an employer or the military,Married,2,4,3,3,3,2,2,3,2,2,4,5,0,1,1
10913,25-34,Female,Bachelor's degree,Unemployed or temporarily laid off,Never married,3,3,4,3,2,5,2,4,3,3,4,5,0,1,2
8722,25-34,Female,Bachelor's degree,Work part-time for an employer or the military,Married,4,3,2,3,3,3,2,4,1,2,4,3,0,1,1
9693,25-34,Male,Some college/Associate,Work full-time for an employer or the military,Married,3,3,3,3,3,3,3,4,3,3,4,5,0,1,1
11358,25-34,Male,Some college/Associate,Work full-time for an employer or the military,Married,4,3,3,3,3,3,3,4,2,3,3,4,8,2,2
8723,18-24,Female,Some college/Associate,Work full-time for an employer or the military,Living with partner,4,4,1,5,1,3,2,5,1,2,4,4,0,1,1
12165,45-54,Male,High school degree/GED,Permanently sick/disabled or unable to work,Married,1,1,5,1,5,5,3,1,1,5,1,5,0,3,1
10557,18-24,Male,Bachelor's degree,Work full-time for an employer or the military,Never married,4,5,2,4,2,3,2,5,2,3,3,5,0,1,1
8316,45-54,Male,Bachelor's degree,Work full-time for an employer or the military,Married,3,3,2,3,2,3,2,4,2,3,4,5,0,1,1
7319,35-44,Female,Bachelor's degree,Homemaker,Married,3,3,3,3,3,3,3,3,3,3,1,5,0,2,2
10914,45-54,Female,Bachelor's degree,Work full-time for an employer or the military,Married,2,3,3,3,3,3,4,3,3,3,3,3,0,1,1
10558,18-24,Female,Some college/Associate,Full-time student,Never married,3,3,3,3,3,3,3,3,3,3,3,4,0,1,1
9194,45-54,Female,High school degree/GED,Homemaker,Married,5,5,1,5,1,3,1,4,1,2,4,4,0,1,1
8724,55-61,Male,Graduate/professional degree,Self-employed,Married,3,4,2,3,2,2,1,3,3,3,4,6,0,1,1
7998,45-54,Female,Graduate/professional degree,Self-employed,Married,5,4,1,4,2,2,1,5,2,2,4,7,0,1,1
8124,35-44,Male,Bachelor's degree,Self-employed,Married,4,4,2,4,2,3,1,5,2,2,4,7,0,1,1
13104,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Married,4,3,2,4,2,3,1,4,1,2,4,6,0,1,1
9195,45-54,Female,Bachelor's degree,Work full-time for an employer or the military,Married,3,4,4,4,2,4,2,3,3,2,4,4,0,1,1
8527,25-34,Male,Bachelor's degree,Work full-time for an employer or the military,Living with partner,5,5,1,5,3,1,1,5,1,1,4,7,0,1,1
9444,35-44,Male,Some college/Associate,Full-time student,Married,4,4,2,5,1,2,2,5,2,2,4,5,0,1,1
8956,25-34,Female,High school degree/GED,Work full-time for an employer or the military,Never married,1,1,2,3,3,5,3,4,3,5,8,5,1,1,1
7385,25-34,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,5,5,2,5,1,3,1,5,1,2,4,6,0,1,1
8528,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Married,1,1,5,1,4,5,4,1,4,4,1,5,0,1,1
14397,25-34,Female,Graduate/professional degree,Self-employed,Living with partner,3,3,3,2,3,3,2,2,2,4,2,5,0,2,2
8317,35-44,Male,Some college/Associate,Work full-time for an employer or the military,Married,4,4,2,4,2,2,2,5,2,2,4,4,0,1,1
8125,25-34,Male,Bachelor's degree,Work full-time for an employer or the military,Living with partner,4,3,2,4,2,3,2,5,2,2,4,6,0,1,1
8529,25-34,Male,Graduate/professional degree,Work full-time for an employer or the military,Never married,3,3,4,2,3,4,2,4,2,4,4,5,0,1,1
12017,25-34,Male,Graduate/professional degree,Refused,Married,4,4,2,4,3,2,2,3,1,2,4,4,0,1,1
14187,18-24,Female,Some college/Associate,Unemployed or temporarily laid off,Never married,1,2,4,3,5,4,5,1,4,4,1,3,0,1,1
10765,35-44,Male,High school degree/GED,Refused,Married,2,2,3,1,5,3,2,1,5,2,1,1,0,2,1
7386,35-44,Male,Some college/Associate,Work full-time for an employer or the military,Married,3,4,2,3,3,2,2,3,2,2,3,4,0,1,1
11835,45-54,Male,Bachelor's degree,Work part-time for an employer or the military,Never married,2,3,4,3,3,4,3,3,2,4,1,5,0,1,1
12096,45-54,Male,Less than high school,Self-employed,Never married,1,3,5,3,3,5,4,2,3,3,1,6,0,2,1
12475,35-44,Female,Some college/Associate,Work full-time for an employer or the military,Married,2,5,2,4,4,2,1,5,2,3,3,6,0,1,1
13405,25-34,Male,High school degree/GED,Work full-time for an employer or the military,Married,1,2,4,3,4,4,3,3,3,3,2,4,0,1,2
9196,25-34,Female,Some college/Associate,Homemaker,Married,2,1,2,3,3,2,3,2,3,3,1,4,0,1,1
7999,35-44,Male,Some college/Associate,Work full-time for an employer or the military,Never married,4,4,2,3,3,5,3,2,2,3,4,5,0,1,1
7123,25-34,Male,Some college/Associate,Refused,Divorced/Separated,3,-1,5,-1,5,3,3,-1,4,-1,-1,4,-1,-1,-1
7166,45-54,Male,Bachelor's degree,Refused,Married,3,3,2,4,2,2,2,4,1,3,-1,6,-1,-1,-1
13747,25-34,Female,Graduate/professional degree,Work full-time for an employer or the military,Never married,3,3,1,3,3,2,1,3,2,1,4,6,0,1,1
9445,35-44,Female,Less than high school,Work part-time for an employer or the military,Married,4,4,1,4,2,3,2,5,1,1,4,5,0,1,1
14379,55-61,Male,High school degree/GED,Self-employed,Divorced/Separated,1,3,2,4,3,2,2,2,2,3,3,6,0,1,1
8000,18-24,Female,Some college/Associate,Work full-time for an employer or the military,Never married,3,2,4,2,3,5,3,3,3,4,2,5,1,1,1
8126,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Never married,2,5,1,3,4,3,1,4,3,3,8,5,8,1,1
14126,45-54,Male,Some college/Associate,Work full-time for an employer or the military,Married,2,3,4,3,3,4,4,2,4,3,3,5,1,1,1
13865,35-44,Male,Some college/Associate,Self-employed,Married,3,3,3,3,3,3,3,3,3,3,4,4,0,1,1
13600,35-44,Male,Bachelor's degree,Work full-time for an employer or the military,Married,5,4,2,4,2,2,1,4,2,3,4,5,0,1,1
13957,55-61,Female,Graduate/professional degree,Retired,Married,5,4,1,5,1,1,1,5,1,2,4,6,0,1,1
13844,25-34,Female,Some college/Associate,Homemaker,Married,1,1,5,1,5,5,5,1,2,5,1,5,1,3,1
13878,45-54,Female,Graduate/professional degree,Work full-time for an employer or the military,Married,5,4,1,4,1,3,1,5,2,2,4,5,0,1,1
13769,55-61,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,4,3,3,3,1,3,2,3,1,1,4,6,0,1,1
14331,35-44,Female,Some college/Associate,Work full-time for an employer or the military,Never married,4,4,1,4,4,5,2,5,1,3,3,5,0,1,1
13658,25-34,Female,Some college/Associate,Homemaker,Divorced/Separated,5,5,5,5,5,5,5,5,5,5,2,1,0,1,1
13529,25-34,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,3,3,2,4,2,3,1,5,2,2,4,5,0,1,1
14357,35-44,Male,Some college/Associate,Self-employed,Married,2,3,2,3,1,3,3,4,2,2,2,5,0,1,1
13973,55-61,Male,Bachelor's degree,Work full-time for an employer or the military,Married,3,3,1,3,1,3,2,4,3,2,4,5,0,1,1
14224,25-34,Female,Less than high school,Homemaker,Married,1,1,1,2,5,5,5,1,5,5,1,1,8,3,3
13593,45-54,Female,Some college/Associate,Unemployed or temporarily laid off,Married,2,2,3,3,3,4,4,2,3,4,1,5,1,1,1
13480,35-44,Female,Graduate/professional degree,Work full-time for an employer or the military,Divorced/Separated,3,3,2,3,2,3,2,5,2,3,4,5,0,1,1
14066,25-34,Female,Some college/Associate,Homemaker,Divorced/Separated,4,4,5,5,5,5,4,5,3,4,1,5,1,3,2
13967,25-34,Female,Some college/Associate,Unemployed or temporarily laid off,Married,3,5,3,5,3,3,3,2,1,3,2,5,1,2,1
13413,35-44,Female,Some college/Associate,Work full-time for an employer or the military,Married,2,2,3,2,2,3,3,2,3,1,2,4,8,2,1
